Code,Occupation_Name,Nom_de_la_profession,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
0,All Occupations,Toutes les professions,N/A,N/D
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,N/A,N/D
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,N/A,N/D
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",N/A,N/D
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",N/A,N/D
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,N/A,N/D
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,N/A,N/D
NOC1_0,Management occupations,Gestion,N/A,N/D
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",N/A,N/D
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,N/A,N/D
NOC1_3,"Health occupations, except management",Secteur de la santé,N/A,N/D
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",N/A,N/D
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",N/A,N/D
NOC1_6,"Sales and service occupations, except management",Vente et services,N/A,N/D
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",N/A,N/D
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",N/A,N/D
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,N/A,N/D
10,Legislators,Membres des corps législatifs,Balance,À équilibre
11,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,Balance,À équilibre
12,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",Balance,À équilibre
13,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/D
14,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/D
15,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/D
10010,Financial managers,Directeurs financiers/directrices financières,Balance,À équilibre
10011,Human resources managers,Directeurs/directrices des ressources humaines,Balance,À équilibre
10012,Purchasing managers,Directeurs/directrices des achats,Balance,À équilibre
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,Balance,À équilibre
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",Balance,À équilibre
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",Balance,À équilibre
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",Balance,À équilibre
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,Balance,À équilibre
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,Balance,À équilibre
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,Balance,À équilibre
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,Balance,À équilibre
11102,Financial advisors,Conseillers financiers/conseillères financières,Balance,À équilibre
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",Balance,À équilibre
11109,Other financial officers,Autres agents financiers/agentes financières,Balance,À équilibre
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,Balance,À équilibre
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,Balance,À équilibre
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",Balance,À équilibre
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,Balance,À équilibre
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,Balance,À équilibre
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",Balance,À équilibre
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",Balance,À équilibre
12100,Executive assistants,Adjoints/adjointes de direction,Balance,À équilibre
12101,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,Balance,À équilibre
12102,Procurement and purchasing agents and officers,Agents/agentes en approvisionnement et aux achats,Balance,À équilibre
12103,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,Balance,À équilibre
12104,Employment insurance and revenue officers,Agents/agentes d'assurance-emploi et du revenu,Balance,À équilibre
12110,"Court reporters, medical transcriptionists and related occupations","Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé",Balance,À équilibre
12111,Health information management occupations,Personnel en gestion de l'information sur la santé,Balance,À équilibre
12112,Records management technicians,Techniciens/techniciennes à la gestion des documents,Balance,À équilibre
12113,Statistical officers and related research support occupations,Agents/agentes de statistiques et professions connexes du soutien de la recherche,Moderate risk of Surplus,Risque modéré de surplus
12200,Accounting technicians and bookkeepers,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,Balance,À équilibre
12201,Insurance adjusters and claims examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,Balance,À équilibre
12202,Insurance underwriters,Assureurs/assureures,Balance,À équilibre
12203,"Assessors, business valuators and appraisers","Estimateurs/estimatrices, évaluateurs/évaluatrices d'entreprise et autres évaluateurs/évaluatrices",Balance,À équilibre
13100,Administrative officers,Agents/agentes d'administration,Balance,À équilibre
13101,Property administrators,Agents/agentes de gestion immobilière,Balance,À équilibre
13102,Payroll administrators,Administrateurs/administratrices de la paye,Balance,À équilibre
13110,Administrative assistants,Adjoints administratifs/adjointes administratives,Balance,À équilibre
13111,Legal administrative assistants,Adjoints administratifs juridiques/adjointes administratives juridiques,Balance,À équilibre
13112,Medical administrative assistants,Adjoints administratifs médicaux/adjointes administratives médicales,Balance,À équilibre
13200,"Customs, ship and other brokers","Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières",Balance,À équilibre
13201,Production and transportation logistics coordinators,Coordonnateurs/coordonnatrices de la logistique de la production et du transport,Balance,À équilibre
