Sector,Level,Job Title
Legislative and senior management occupations,Legislative and senior management,Legislators
Legislative and senior management occupations,Legislative and senior management,Senior government managers and officials
Legislative and senior management occupations,Legislative and senior management,"Senior managers - financial, communications and other business services"
Legislative and senior management occupations,Legislative and senior management,"Senior managers - health, education, social and community services and membership organizations"
Legislative and senior management occupations,Legislative and senior management,"Senior managers - trade, broadcasting and other services"
Legislative and senior management occupations,Legislative and senior management,"Senior managers - construction, transportation, production and utilities"
"Business, finance and administration occupations",Legislative and senior management,Financial managers
"Business, finance and administration occupations",Legislative and senior management,Human resources managers
"Business, finance and administration occupations",Legislative and senior management,Purchasing managers
"Business, finance and administration occupations",Legislative and senior management,Other administrative services managers
"Business, finance and administration occupations",Legislative and senior management,"Insurance, real estate and financial brokerage managers"
"Business, finance and administration occupations",Legislative and senior management,"Banking, credit and other investment managers"
"Business, finance and administration occupations",Legislative and senior management,"Advertising, marketing and public relations managers"
"Business, finance and administration occupations",Legislative and senior management,Other business services managers
"Business, finance and administration occupations",Legislative and senior management,Telecommunication carriers managers 
"Business, finance and administration occupations",University degree,Financial auditors and accountants
"Business, finance and administration occupations",University degree,Financial and investment analysts
"Business, finance and administration occupations",University degree,Financial advisors
"Business, finance and administration occupations",University degree,"Securities agents, investment dealers and brokers"
"Business, finance and administration occupations",University degree,Other financial officers
"Business, finance and administration occupations",University degree,Human resources professionals
"Business, finance and administration occupations",University degree,Professional occupations in business management consulting
"Business, finance and administration occupations",University degree,"Professional occupations in advertising, marketing and public relations"
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,"Supervisors, general office and administrative support workers"
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,"Supervisors, finance and insurance office workers "
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,"Supervisors, library, correspondence and related information workers "
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,"Supervisors, supply chain, tracking and scheduling coordination occupations "
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,Executive assistants
"Business, finance and administration occupations",A college diploma or apprenticeship training of two or more years; or supervisory occupations,Human resources and recruitment officers
