Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Future_Labour_Market_Conditions
00000,All Occupations,Toutes les professions,20170900,2589900,4307200,1212000,8109100,5865800,2552300,-179200,"8,238,800",N/A,N/A
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,1985100,197400,563600,136100,897100,75100,214500,549700,839300,N/A,N/A
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,4552000,782400,870000,269600,1922000,1868000,730700,-444200,2154400,N/A,N/A
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",4855300,726200,991100,291000,2008300,1550900,497000,-22000,2025900,N/A,N/A
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",3062600,431100,740000,196200,1367300,768500,372100,200700,1341300,N/A,N/A
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,3071200,213200,682300,180400,1075900,860400,371700,-185700,1046500,N/A,N/A
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,2644800,239400,460300,138700,838500,742900,366100,-277700,831400,N/A,N/A
NOC1_0,Management occupations,Gestion,65400,6600,21600,5200,33400,1500,3300,31000,35800,N/A,N/A
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",3629100,452900,858500,223800,1535200,1091600,450600,121700,1663900,N/A,N/A
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,1929200,326100,364400,113200,803600,747800,503600,-311300,940200,N/A,N/A
NOC1_3,"Health occupations, except management",Secteur de la santé,1616300,450500,303800,96800,851100,603500,166900,31200,801600,N/A,N/A
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",2483200,379900,532600,146900,1059300,787600,199100,102900,1089600,N/A,N/A
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",654800,86900,108200,37200,232300,241200,67000,-42600,265500,N/A,N/A
NOC1_6,"Sales and service occupations, except management",Vente et services,4953500,387000,975100,272500,1634700,1314700,634200,-322000,1626800,N/A,N/A
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",3373800,424400,751300,216900,1392600,791900,349500,163900,1305400,N/A,N/A
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",498200,20000,123700,35700,179400,110700,29900,12200,152800,N/A,N/A
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,967600,55500,268000,63800,387300,175300,148100,33700,357200,N/A,N/A
00010,Legislators,Membres des corps législatifs,4700,300,3500,600,4400,100,100,4300,4400,Balance,Balance
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,6300,100,2100,500,2600,200,400,2100,2600,Balance,Balance
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",52900,6100,15800,4000,25900,1200,2800,24200,28200,Balance,Balance
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,78000,8500,18800,4800,32100,5100,10900,20900,36900,Balance,Balance
10011,Human resources managers,Directeurs/directrices des ressources humaines,54400,7600,11400,3400,22400,2700,4500,17400,24700,Balance,Balance
10012,Purchasing managers,Directeurs/directrices des achats,20000,2800,4700,1300,8800,1000,3300,4700,9000,Balance,Balance
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,11600,300,3500,800,4600,400,800,3600,4800,Balance,Balance
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",45100,5000,11400,2800,19100,2900,4500,13300,20700,Balance,Balance
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",71000,9100,18000,4100,31200,4300,11100,19000,34400,Balance,Balance
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",53300,8500,9600,2900,21000,5200,10200,6500,22000,Balance,Balance
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,19800,4500,7700,1500,13600,1000,2700,10400,14100,Balance,Balance
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,11000,100,3000,700,3900,300,1600,2300,4200,Balance,Balance
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,247300,19200,49100,14800,83100,109100,38900,-29100,118900,Balance,Balance
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,77000,11300,10800,4300,26500,45500,13600,-27300,31800,Balance,Balance
11102,Financial advisors,Conseillers financiers/conseillères financières,118800,17600,24000,7000,48600,44400,22900,-6500,60700,Balance,Balance
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",26200,2700,6100,1700,10500,12400,5200,-7400,10200,Balance,Balance
11109,Other financial officers,Autres agents financiers/agentes financières,46600,11000,7300,3000,21300,17400,7300,-100,24600,Balance,Balance
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,126700,26500,19800,7500,53800,50100,15800,2400,68300,Balance,Balance
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,122300,18600,34700,8400,61600,37900,27700,8800,74400,Balance,Balance
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",233600,41500,22300,11800,75600,141900,38800,-62700,117900,Balance,Balance
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,21300,3300,7700,1400,12400,6800,2600,3200,12600,Balance,Balance
