,p52
1,Gestionnaire dans le domaine funéraire
2,
3,
4,
5,Analyste
6,
7,
8,Etudiant
9,
10,Architecte de solution
11,camionneur courte distance
12,
13,
14,Sales rep & musician
15,
16,
17,
18,
19,
20,
21,
22,renovateur apres sinistre
23,
24,
25,Retraitée
26,etudiant a temps plein et service a la clientele
27,
28,
29,
30,
31,Traductrice
32,Banque
33,Educatrice CPE
34,
35,
36,ressource humaine
37,charpentier-menuisier
38,
39,Technicien
40,signaleur routier
41,Comptable
42,
43,
44,
45,gestion
46,
47,Secrétaire comptable
48,
49,Nurse
50,
51,Gestionnaire
52,
53,Esthéticienne
54,
55,
56,
57,Avocat
58,
59,
60,
61,Autonome
62,Retraité
63,enseignante
64,
65,Electromécanicienne
66,
67,
68,
69,
70,
71,
72,
73,Technician technology
74,
75,Educatrice
76,Administrateur informatique
77,Développement durable
78,aucun
79,
80,Marchandiseur
81,
82,
83,
84,
85,Coordonnateur de production
86,Prefer not to say
87,
88,teacher
89,
90,
91,Fonctionnaire
92,
93,
94,Conseillere amélioration processus
95,
96,Responsable de service de garde en milieu familial subventionné
97,
98,Planificateur financier
99,
100,
101,
102,
103,Full time student
104,agent administratif pour ciusss
105,
106,
107,Mécanicien
108,mécanicien industriel
109,
110,assistante technicienne en laboratoire
111,représentante
112,
113,
114,
115,
116,Gouvernement du Canada
117,
118,planificateur de réseaux extérieurs en télécommunication
119,Judge
120,Designer (manage) President of a company
121,
122,Computer Programmer
123,Sales rep
124,
125,Marketing Manager
126,Businessman
127,Actuary
128,Social Housing
129,server at a restaurant
130,
131,Public servant
132,
133,
134,
135,healthcare
136,lawyer
137,Electrician
138,police
139,
140,Sales
141,Construction training coordinator
142,
143,
144,
145,Government policy
146,
147,student
148,Administration
149,
150,sales
151,operations manager
152,
153,contract worker
154,Retired Contractor
155,"Retired, now consulting in IT."
156,
157,marketing and communications
158,Dental hygienist
159,
160,Prefer not to say
161,
162,
163,
164,
165,
166,
167,
168,
169,IT programmer
170,business manager
171,
172,
173,Customers Service
174,Toolmaker
175,
176,tax auditor
177,
178,program coordinator - refugee/immigration
179,Teacher
180,
181,Prefer not to say
182,
183,
184,Prefer not to say
185,
186,
187,
188,in construction
189,
190,
191,Non-profit lobbyist
192,
193,accountant
194,
195,designer
196,Resource management
197,
198,Prefer not to say
199,
200,
201,Administration
202,
203,Vice president Contractor
204,
205,
206,investment professional
207,
208,
209,paralegal
210,
211,"Environmental, technician"
212,Parts advisor for car dealership
213,
214,Engineer
215,
216,
217,Dept of National Defence
218,Millwright
219,Architect
220,Software Engineer
221,
222,
223,planning and project manager
224,
225,
226,
227,Project Manager
228,
229,
230,program assistant
231,
232,retired
233,project manager
234,Prefer not to say
235,
236,
237,
238,Prefer not to say
239,Construction worker
240,
241,Archivist
242,Construction estimater
243,Security Guard
244,student
245,Occupational therapist
246,banker
247,
248,
249,
250,
251,
252,Book-keeper
253,
254,client service
255,Prefer not to say
256,
257,
258,doctor of medicine
259,
260,
261,Digital media editor and statistician
262,
263,Research assistant
264,nurse
265,CAD Operator Draftsman
266,
267,
268,
269,Artist
270,
271,
272,sales
273,
274,
275,
276,Constable----works for the government
277,
278,Retired
279,
280,
281,
282,
283,
284,
285,"zomboni driver, shift duty engineer"
286,
287,
288,
289,
290,
291,
292,"taxi driver, full time and English tutor, part-time"
293,
294,Prefer not to say
295,Office manager
296,
297,
298,lumber industry - mill worker
299,
300,medical technician
301,
302,Registered nurse
303,Professional Engineer
304,flight attendant
305,
306,Military
307,Retail Sales Manager
308,service industry
309,
310,Self employed
311,self-employed
312,Human resource analyst
313,
314,Student
315,Carpenter
316,
317,Electrician
318,
319,
320,investment assistant
321,
322,
323,
324,
325,
326,technical engineer
327,
328,Aircraft maintenance engineer apprentice
329,
330,service technician
331,Construction top man
332,Mechanic
333,
334,Engineer
335,
336,
337,
338,Communications Manager
339,
340,truck driver
341,Illustrator
342,
343,
344,
345,Consultant - financial
346,Contractor - Construction - Window
347,taper
348,station attendant
349,
350,
351,
352,
353,
354,Office Manager
355,Senior project manager of international development projects
356,quality laboratory affairs manager
357,
358,Carperter/scappler
359,Highway maintenance worker
360,
361,Sales
362,self employed
363,IT
364,Chief technology officer
365,
366,
367,truck driver
368,Prefer not to say
369,millwright
370,
371,
372,Instrument mechanic
373,
374,
375,Employee of the Federal Government
376,Mechanic
377,Retail
378,
379,
380,
381,
382,Trades trainer
383,
384,Biologist
385,
386,
387,Retired teacher
388,
389,
390,Biomedical Engineering Technologist
391,
392,semi retired teacher
393,
394,technician
395,
396,international tax accountant
397,Social worker
398,
399,Real estate assessor
400,Prefer not to say
401,MD
402,lawyer
403,graphic designer
404,Customer service representative at Bank of Nova Scotia
405,Flager
406,customer service manager
407,
408,Prefer not to say
409,hospitality manager
410,Healthcare
411,provincial govt
412,
413,
414,working at a Nursing home- Student
415,
416,
417,
418,
419,manager in retail store
420,engineer
421,Supply technician for the military
422,carpentar
423,Ocean Technician
424,
425,
426,
427,Security Officer
428,youth care worker
429,Accounts payable
430,
431,
432,Student and care aid
433,agriculture labourer
434,Lawyer
435,
436,
437,
438,Plumber
439,
440,safety professional
441,Prefer not to say
442,Prefer not to say
443,
444,Environmental services consultant
445,
446,
447,peace officer - RCMP
448,
449,Électricien
450,
451,
452,School Teacher
453,
454,
455,
456,Merchandiser in retail
457,
458,
459,
460,
461,
462,
463,
464,Stay at home Mom
465,heavy equipment operator and self employed
466,
467,
468,
469,
470,retired builder
471,
472,Retired
473,
474,security guard
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,administrative
489,
490,
491,
492,
493,agriculture assistant
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,management
505,
506,
507,
508,Self Employed - Farm/Agriculture Specialist
509,
510,
511,Electrical engineer
512,
513,
514,
515,
516,
517,
518,
519,Teacher
520,
521,
522,Law enforcement
523,
524,
525,health care coordinator
526,Business transformation architect
527,forestry
528,
529,
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,"Farm, Teach Riding Horses"
541,Prefer not to say
542,
543,
544,
545,
546,
547,waste water operator
548,
549,Retail
550,Alcohol and Drug Worker
551,Retired
552,
553,Prefer not to say
554,
555,Real Estate Sales Rep.
556,
557,Scheduler at a University
558,
559,
560,
561,Mail Carrier
562,Realtor
563,
564,Retired
565,
566,
567,Insurance
568,
569,
570,
571,Prefer not to say
572,
573,
574,Maintenance man in a flour manufacturer
575,Self Employed
576,Ordained Minister of Evangelical Lutheran Church in Canada
577,
578,
579,
580,teacher
581,
582,
583,
584,
585,Prefer not to say
586,
587,Teacher
588,
589,
590,
591,
592,
593,Canada Post
594,Teacher
595,
596,
597,administrative
598,
599,
600,
601,Clergy (church minister)
602,
603,
604,
605,self-employed
606,
607,
608,
609,Administrator
610,self employed
611,
612,
613,
614,
615,School bus driver
616,
617,Self employed
618,Welder
619,office admin
620,
621,papetier
622,Chauffeur d'autobus
623,technicien comptable
624,
625,agricultrice
626,
627,Vendeuse dans un commerce
628,consultant a mon compte
629,Professionnel
630,Infirmière
631,
632,
633,
634,
635,
636,Entrepreneur dans la construction
637,
638,
639,Enseignant au secondaire
640,
641,
642,
643,
644,Educatrice
645,Policier ðŸ‘®
646,
647,
648,
649,Directrice des achats
650,
651,Retail manager
652,Enseignante au primaire
653,
654,
