"","pes21_occ_text"
"1",""
"2",""
"3",""
"4",""
"5","-99"
"6","baker"
"7","Homemaker"
"8","-99"
"9","food industry/grocery stocker"
"10",""
"11",""
"12",""
"13","serveuse"
"14","Enseignant au secondaire"
"15",""
"16","Apf"
"17",""
"18","Lawyer"
"19","Artist"
"20",""
"21","Computer product manager"
"22",""
"23","Aidante naturelle"
"24","Customer Service"
"25","unpaid caregiver"
"26","-99"
"27",""
"28",""
"29","MANAGER"
"30",""
"31",""
"32","Étudiante"
"33",""
"34",""
"35","Admin Assistant"
"36","Communications"
"37","Researcher"
"38","Owner of a small Company"
"39","infirmiere auxiliaire"
"40","Mécanicien protection incendie"
"41","paralegal"
"42","engineering clerk"
"43","Travailleur"
"44","Secrétaire"
"45","Shipper/receiver"
"46",""
"47",""
"48","designer graphique"
"49","operator"
"50","Retired"
"51","Laboratory Manager"
"52","temps partiel"
"53","Paramedic Supervisor"
"54","-99"
"55","-99"
"56","Adjointe administrative"
"57","-99"
"58","manager for a public utility"
"59","trust industry"
"60",""
"61","factrice rurale"
"62","Bus driver"
"63","technical writer"
"64","Registered Nurse"
"65","Technician"
"66",""
"67",""
"68",""
"69",""
"70","professional"
"71",""
"72","Communications consultant"
"73","Automotive"
"74",""
"75","Travailleuse sociale"
"76","-99"
"77",""
"78","Provincial Diabetes Coordinator"
"79","Store clerk"
"80",""
"81","employé federaux"
"82","Disabled"
"83","health care administrator"
"84",""
"85","Manager"
"86",""
"87","opérateur"
"88","Lube tech"
"89","Meat cutter"
"90","Teacher"
"91","Administrative assistant"
"92","Gestionnaire"
"93","engineer"
"94",""
"95","Disability supports"
"96","Business Analyst"
"97",""
"98","Security Officer"
"99",""
"100","Travailleur temps plein"
"101","Nurse"
"102",""
"103","Travailleur"
"104",""
"105","comptable-contrôleure"
"106",""
"107","-99"
"108","teacher"
"109",""
"110","Travailleur Autonme"
"111",""
"112","supervisor customer service"
"113",""
"114",""
"115","Cashier"
"116",""
"117",""
"118",""
"119","Acheteure"
"120","Architecte TI"
"121","Professor"
"122","consultant"
"123","School bus driver"
"124","Security"
"125",""
"126","homemaker"
"127","Substitute teacher"
"128",""
"129",""
"130",""
"131","Retail management"
"132","-99"
"133","Materials Controller"
"134",""
"135","Support services/admin"
"136","Dental assistant"
"137","Social Equity Consultant"
"138",""
"139","Lawyer"
"140","Union leader"
"141","-99"
"142",""
"143","railway worker"
"144","customer service"
"145","Engineer"
"146",""
"147","hygiéniste dentaire"
"148",""
"149","Technology"
"150","contremaître transport"
"151",""
"152",""
"153","manufacturier"
"154","Gérant des ventes"
"155","self employed"
"156",""
"157","Enseignant"
"158","Agent de soutien"
"159","insurance agent"
"160","-99"
"161",""
"162","Conseiller"
"163","Educatrice cpe"
"164","federal public servant"
"165","Technicien informatique"
"166","-99"
"167","RN"
"168","Warehouse supervisor"
"169",""
"170",""
"171",""
"172","Full time emplyed"
"173","Formatrice"
"174","Éducatrice garderie"
"175",""
"176","-99"
"177","Coiffeuse"
"178","Sales"
"179","Supervisor Manufacturing"
"180","Stay at home mom"
"181","-99"
"182","driver"
"183",""
"184",""
"185",""
"186","Informaticien"
"187","Student"
"188",""
"189",""
"190",""
"191","Financial Advisor"
"192","student"
"193",""
"194",""
"195","Bureau"
"196","économiste"
"197",""
"198",""
"199","Bank employee"
"200","educator"
"201","driver"
"202","Chemist"
"203",""
"204",""
"205","Educational consultant"
"206",""
"207","Clergy"
"208","travailleuse sociale"
"209","librarian"
"210","Administrative Assistant"
"211",""
"212","Employé temps plein gouvernement fédéral"
"213","Office Manager"
