NOC,Title,Sample_job
00010,Legislators,Aboriginal band chief
00010,Legislators,Aboriginal band council member
00010,Legislators,Alderman/woman
00010,Legislators,Attorney general
00010,Legislators,Cabinet minister
00010,Legislators,City alderman
00010,Legislators,City councillor
00010,Legislators,City councilman/woman
00010,Legislators,Councillor
00010,Legislators,First Nations band chief
00010,Legislators,First Nations band council member
00010,Legislators,First Nations government leader
00010,Legislators,Government leader
00010,Legislators,Governor general
00010,Legislators,Leader of the opposition
00010,Legislators,Legislative body speaker
00010,Legislators,Legislator
00010,Legislators,Lieutenant-governor
00010,Legislators,Mayor
00010,Legislators,Member of Legislative Assembly (MLA)
00010,Legislators,Member of Parliament (MP)
00010,Legislators,Member of the House of Assembly (MHA)
00010,Legislators,Member of the National Assembly (MNA)
00010,Legislators,Member of the Provincial Parliament (MPP)
00010,Legislators,Metropolitan council chair
00010,Legislators,Municipal council chairman/woman
00010,Legislators,Opposition leader
00010,Legislators,Orator - government
00010,Legislators,Premier
00010,Legislators,Prime minister
00010,Legislators,Reeve
00010,Legislators,Regional municipality chair
00010,Legislators,School board trustee
00010,Legislators,Senator
00010,Legislators,Solicitor general
00010,Legislators,Treasury Board president
00011,Senior government managers and officials,Ambassador
00011,Senior government managers and officials,Assistant chief statistician - government services
00011,Senior government managers and officials,Assistant comptroller general - government services
00011,Senior government managers and officials,Assistant deputy minister
00011,Senior government managers and officials,Assistant deputy minister - government services
00011,Senior government managers and officials,Assistant executive director - government services
00011,Senior government managers and officials,Assistant general director - government services
00011,Senior government managers and officials,Assistant undersecretary of state
00011,Senior government managers and officials,Band manager - First Nations
00011,Senior government managers and officials,Chairman/woman - government services
00011,Senior government managers and officials,Chairperson - government services
00011,Senior government managers and officials,Chief - disaster management
00011,Senior government managers and officials,Chief administrative officer - government services
00011,Senior government managers and officials,Chief administrative officer - regional municipality
00011,Senior government managers and officials,Chief coroner
00011,Senior government managers and officials,Chief electoral officer
00011,Senior government managers and officials,Chief medical examiner
00011,Senior government managers and officials,Chief privacy officer - government services
00011,Senior government managers and officials,Chief statistician - government services
00011,Senior government managers and officials,City administrator
00011,Senior government managers and officials,City hall clerk
00011,Senior government managers and officials,City manager
00011,Senior government managers and officials,City superintendent
00011,Senior government managers and officials,Clerk of the House of Commons
00011,Senior government managers and officials,Clerk of the Privy Council
00011,Senior government managers and officials,Commissioner - government services
00011,Senior government managers and officials,Commissioner of inquiries
00011,Senior government managers and officials,Commissioner of inquiries - government services
00011,Senior government managers and officials,Comptroller general - government services
00011,Senior government managers and officials,Comptroller general of Canada
00011,Senior government managers and officials,Consul
00011,Senior government managers and officials,Council secretary - government services
00011,Senior government managers and officials,County clerk
00011,Senior government managers and officials,Deputy commissioner - government services
00011,Senior government managers and officials,Deputy minister
00011,Senior government managers and officials,Deputy minister - government services
00011,Senior government managers and officials,Deputy municipal clerk
00011,Senior government managers and officials,Deputy provincial secretary - government services
00011,Senior government managers and officials,Director general - government services
00011,Senior government managers and officials,Employment insurance appeals board chairperson
00011,Senior government managers and officials,Employment insurance commissioner
00011,Senior government managers and officials,Executive administrator - government agency
00011,Senior government managers and officials,Executive administrator - government department
00011,Senior government managers and officials,Executive director - emergency preparedness
00011,Senior government managers and officials,Executive director - government services
00011,Senior government managers and officials,Fire marshal
00011,Senior government managers and officials,First Nations band manager
00011,Senior government managers and officials,General manager - government services
00011,Senior government managers and officials,General secretary - government services
00011,Senior government managers and officials,Government agency commissioner
00011,Senior government managers and officials,Government agency president
00011,Senior government managers and officials,Government agency senior administrator
00011,Senior government managers and officials,Grain commissioner
00011,Senior government managers and officials,Health commissioner
00011,Senior government managers and officials,High commissioner
00011,Senior government managers and officials,Highway commissioner
00011,Senior government managers and officials,Human Rights Commission chairperson
00011,Senior government managers and officials,Inspector general of financial institutions
00011,Senior government managers and officials,Liquor commissioner
00011,Senior government managers and officials,Local government manager
00011,Senior government managers and officials,Manager - First Nations
00011,Senior government managers and officials,Municipal administrator
00011,Senior government managers and officials,Ombudsperson - government services
00011,Senior government managers and officials,Parole board chairman/woman
00011,Senior government managers and officials,President - government services
00011,Senior government managers and officials,Railroad commissioner
00011,Senior government managers and officials,Receiver general for Canada
00011,Senior government managers and officials,Regional municipality general director
00011,Senior government managers and officials,Secretary to the council - government services
00011,Senior government managers and officials,Sergeant-at-arms of the House of Commons
00011,Senior government managers and officials,Superintendent of financial institutions
00011,Senior government managers and officials,Territorial commissioner
00011,Senior government managers and officials,Town clerk
00011,Senior government managers and officials,Township clerk
00011,Senior government managers and officials,Trade commissioner
00011,Senior government managers and officials,Undersecretary of state
00011,Senior government managers and officials,Vice-consul
00011,Senior government managers and officials,Vice-president - government services
00012,"Senior managers - financial, communications and other business services",Advertising agency president
00012,"Senior managers - financial, communications and other business services","Assistant executive director - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Bank credit vice-president
00012,"Senior managers - financial, communications and other business services",Bank president
00012,"Senior managers - financial, communications and other business services","Chairman/woman - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chairperson - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chief diversity officer – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chief executive officer (CEO) - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Chief executive officer (CEO) - telephone company
00012,"Senior managers - financial, communications and other business services",Chief financial officer (CFO) - advertising agency
00012,"Senior managers - financial, communications and other business services","Chief financial officer (CFO) - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chief learning officer  – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Chief operating officer - engineering firm
00012,"Senior managers - financial, communications and other business services","Chief operating officer - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chief privacy officer - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Chief sustainability officer – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Compensation vice-president – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Computing services company president
00012,"Senior managers - financial, communications and other business services","Controller - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Corporate banking vice-president
00012,"Senior managers - financial, communications and other business services","Corporate controller - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Corporate controller - mortgage brokerage firm
00012,"Senior managers - financial, communications and other business services","Corporate social responsibility  vice-president – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Credit union executive director
00012,"Senior managers - financial, communications and other business services",Credit union general manager
00012,"Senior managers - financial, communications and other business services","Deputy chief executive officer - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Deputy chief executive officer - life insurance company
00012,"Senior managers - financial, communications and other business services",Domestic banking operations vice-president
00012,"Senior managers - financial, communications and other business services",Employment agency general manager
00012,"Senior managers - financial, communications and other business services",Engineering firm president
00012,"Senior managers - financial, communications and other business services",Engineering research general manager
00012,"Senior managers - financial, communications and other business services","Engineering vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Executive director - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Executive vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Executive vice-president - real estate agency
00012,"Senior managers - financial, communications and other business services","Finance and administration vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Finance vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Finance vice-president - holding company
00012,"Senior managers - financial, communications and other business services","General manager - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",General manager - real estate management company
00012,"Senior managers - financial, communications and other business services","Human resources and organizational development vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Human resources vice-president - bank
00012,"Senior managers - financial, communications and other business services","Human resources vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Information systems vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Insurance company general manager
00012,"Senior managers - financial, communications and other business services",International banking operations vice-president
00012,"Senior managers - financial, communications and other business services",Marketing vice-president - clerical staff services
00012,"Senior managers - financial, communications and other business services","Marketing vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Operations vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Operations vice-president - satellite communication services
00012,"Senior managers - financial, communications and other business services",Personal banking vice-president
00012,"Senior managers - financial, communications and other business services",Personnel vice-president - bank
00012,"Senior managers - financial, communications and other business services","Personnel vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Planning vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","President - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",President and chief executive officer
00012,"Senior managers - financial, communications and other business services","President and chief executive officer - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Protective services executive director
00012,"Senior managers - financial, communications and other business services",Real estate management company executive director
00012,"Senior managers - financial, communications and other business services","Regional vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Senior vice-president and chief economist
00012,"Senior managers - financial, communications and other business services","Support services vice-president - financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services","Sustainability vice-president – financial, communications and other business services"
00012,"Senior managers - financial, communications and other business services",Telecommunications general manager
00012,"Senior managers - financial, communications and other business services",Treasury vice-president - banking institution
00012,"Senior managers - financial, communications and other business services",Trust company general manager
00012,"Senior managers - financial, communications and other business services",Trust company regional vice-president
00012,"Senior managers - financial, communications and other business services","Vice-president - financial, communications and other business services"
00013,"Senior managers - health, education, social and community services and membership organizations",Academic affairs vice-president – post-secondary education
00013,"Senior managers - health, education, social and community services and membership organizations",Academic association president
00013,"Senior managers - health, education, social and community services and membership organizations",Academic business vice-president
00013,"Senior managers - health, education, social and community services and membership organizations",Alumni association executive director
00013,"Senior managers - health, education, social and community services and membership organizations",Arts and culture association chairperson
00013,"Senior managers - health, education, social and community services and membership organizations",Arts association executive director
00013,"Senior managers - health, education, social and community services and membership organizations","Assistant executive director - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations",Association executive director
00013,"Senior managers - health, education, social and community services and membership organizations",Automobile association executive director
00013,"Senior managers - health, education, social and community services and membership organizations",Business association general manager
00013,"Senior managers - health, education, social and community services and membership organizations",Business association president
00013,"Senior managers - health, education, social and community services and membership organizations",Business general manager
00013,"Senior managers - health, education, social and community services and membership organizations",Business school general manager
00013,"Senior managers - health, education, social and community services and membership organizations","Chairman/woman - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chairperson - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations",Chancellor - education
00013,"Senior managers - health, education, social and community services and membership organizations",Charitable organization director
00013,"Senior managers - health, education, social and community services and membership organizations",Charitable organization executive director
00013,"Senior managers - health, education, social and community services and membership organizations","Chief diversity officer  – health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief executive officer (CEO) - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief financial officer (CFO) - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief learning officer  – health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief nursing officer  – health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief operating officer - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief privacy officer - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Chief sustainability officer - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations",College chancellor
00013,"Senior managers - health, education, social and community services and membership organizations",College president
00013,"Senior managers - health, education, social and community services and membership organizations",Community college president
00013,"Senior managers - health, education, social and community services and membership organizations","Compensation vice-president – health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Corporate controller - health, education, social and community services and membership organizations"
00013,"Senior managers - health, education, social and community services and membership organizations","Corporate social responsibility  vice-president – health, education, social and community services and membership organizations"
