"","x"
"1","gestionnaire dans le domaine funéraire"
"2",""
"3","analyste"
"4","etudiant"
"5","architecte de solution"
"6","camionneur courte distance"
"7","sales rep & musician"
"8","renovateur apres sinistre"
"9","retraitée"
"10","etudiant a temps plein et service a la clientele"
"11","traductrice"
"12","banque"
"13","educatrice cpe"
"14","ressource humaine"
"15","charpentier-menuisier"
"16","technicien"
"17","signaleur routier"
"18","comptable"
"19","gestion"
"20","secrétaire comptable"
"21","nurse"
"22","gestionnaire"
"23","esthéticienne"
"24","avocat"
"25","autonome"
"26","retraité"
"27","enseignante"
"28","electromécanicienne"
"29","technician technology"
"30","educatrice"
"31","administrateur informatique"
"32","développement durable"
"33","aucun"
"34","marchandiseur"
"35","coordonnateur de production"
"36","prefer not to say"
"37","teacher"
"38","fonctionnaire"
"39","conseillere amélioration processus"
"40","responsable de service de garde en milieu familial subventionné"
"41","planificateur financier"
"42","full time student"
"43","agent administratif pour ciusss"
"44","mécanicien"
"45","mécanicien industriel"
"46","assistante technicienne en laboratoire"
"47","représentante"
"48","gouvernement du canada"
"49","planificateur de réseaux extérieurs en télécommunication"
"50","judge"
"51","designer (manage) president of a company"
"52","computer programmer"
"53","sales rep"
"54","marketing manager"
"55","businessman"
"56","actuary"
"57","social housing"
"58","server at a restaurant"
"59","public servant"
"60","healthcare"
"61","lawyer"
"62","electrician"
"63","police"
"64","sales"
"65","construction training coordinator"
"66","government policy"
"67","student"
"68","administration"
"69","operations manager"
"70","contract worker"
"71","retired contractor"
"72","retired, now consulting in it."
"73","marketing and communications"
"74","dental hygienist"
"75","it programmer"
"76","business manager"
"77","customers service"
"78","toolmaker"
"79","tax auditor"
"80","program coordinator - refugee/immigration"
"81","in construction"
"82","non-profit lobbyist"
"83","accountant"
"84","designer"
"85","resource management"
"86","vice president contractor"
"87","investment professional"
"88","paralegal"
"89","environmental, technician"
"90","parts advisor for car dealership"
"91","engineer"
"92","dept of national defence"
"93","millwright"
"94","architect"
"95","software engineer"
"96","planning and project manager"
"97","project manager"
"98","program assistant"
"99","retired"
"100","construction worker"
"101","archivist"
"102","construction estimater"
"103","security guard"
"104","occupational therapist"
"105","banker"
"106","book-keeper"
"107","client service"
"108","doctor of medicine"
"109","digital media editor and statistician"
"110","research assistant"
"111","cad operator draftsman"
"112","artist"
"113","constable----works for the government"
"114","zomboni driver, shift duty engineer"
"115","taxi driver, full time and english tutor, part-time"
"116","office manager"
"117","lumber industry - mill worker"
"118","medical technician"
"119","registered nurse"
"120","professional engineer"
"121","flight attendant"
"122","military"
"123","retail sales manager"
"124","service industry"
"125","self employed"
"126","self-employed"
"127","human resource analyst"
"128","carpenter"
"129","investment assistant"
"130","technical engineer"
"131","aircraft maintenance engineer apprentice"
"132","service technician"
"133","construction top man"
"134","mechanic"
"135","communications manager"
"136","truck driver"
"137","illustrator"
"138","consultant - financial"
"139","contractor - construction - window"
"140","taper"
"141","station attendant"
"142","senior project manager of international development projects"
"143","quality laboratory affairs manager"
"144","carperter/scappler"
"145","highway maintenance worker"
"146","it"
"147","chief technology officer"
"148","instrument mechanic"
"149","employee of the federal government"
"150","retail"
"151","trades trainer"
"152","biologist"
"153","retired teacher"
"154","biomedical engineering technologist"
"155","semi retired teacher"
"156","technician"
"157","international tax accountant"
"158","social worker"
"159","real estate assessor"
"160","md"
"161","graphic designer"
"162","customer service representative at bank of nova scotia"
"163","flager"
"164","customer service manager"
"165","hospitality manager"
"166","provincial govt"
"167","working at a nursing home- student"
"168","manager in retail store"
"169","supply technician for the military"
"170","carpentar"
"171","ocean technician"
"172","security officer"
"173","youth care worker"
"174","accounts payable"
"175","student and care aid"
"176","agriculture labourer"
"177","plumber"
"178","safety professional"
"179","environmental services consultant"
"180","peace officer - rcmp"
"181","électricien"
"182","school teacher"
"183","merchandiser in retail"
"184","stay at home mom"
"185","heavy equipment operator and self employed"
"186","retired builder"
"187","administrative"
"188","agriculture assistant"
"189","management"
"190","self employed - farm/agriculture specialist"
"191","electrical engineer"
"192","law enforcement"
"193","health care coordinator"
"194","business transformation architect"
"195","forestry"
"196","farm, teach riding horses"
"197","waste water operator"
"198","alcohol and drug worker"
"199","real estate sales rep."
"200","scheduler at a university"
"201","mail carrier"
"202","realtor"
"203","insurance"
"204","maintenance man in a flour manufacturer"
"205","ordained minister of evangelical lutheran church in canada"
"206","canada post"
"207","clergy (church minister)"
"208","administrator"
"209","school bus driver"
"210","welder"
"211","office admin"
"212","papetier"
"213","chauffeur d'autobus"
"214","technicien comptable"
"215","agricultrice"
"216","vendeuse dans un commerce"
"217","consultant a mon compte"
"218","professionnel"
"219","infirmière"
"220","entrepreneur dans la construction"
"221","enseignant au secondaire"
"222","policier ðÿ‘®"
"223","directrice des achats"
"224","retail manager"
"225","enseignante au primaire"
"226","animatrice de vie spirituelle et d'engagement communautaire"
"227","professeur"
"228","agente administrative"
"229","économiste"
"230","intervenant sociale"
"231","chief engineer"
"232","medical administrator"
"233","aeroplane pilot"
"234","installer"
"235","class3 driver, heavy equipment"
"236","directional driller"
"237","director research and innovation"
"238","contruction foreman"
"239","landscaping"
"240","bank consultant"
"241","tech startup"
"242","financial advisor"
"243","self employed minister"
"244","respiratory therapist"
"245","retired, casual worker"
"246","call business in telecom"
"247","grocery /retail"
"248","machinist"
"249","chemist"
"250","milwright"
"251","dentiste"
"252","psychologue en pratique privée"
"253","aide ã  domicile"
"254","adjointe juridique"
"255","superviseur ville de laval"
"256","systems administrator"
"257","""girl friday"" for a small business"
"258","rtf  (ressources de type familiale)"
"259","jounalier en alimentation"
"260","technicien informatique"
"261","professeur d'université"
"262","préposé en entretien ménager"
"263","carrosier"
"264","dock worker"
"265","artiste"
"266","étudiant"
"267","directeur de commerce électronique"
"268","développeur logiciel"
"269","secteur manufacturier"
"270","travailleure autonome en administration, comptabilité"
"271","project coordinator for consulting firm"
"272","éducatrice"
"273","enseignant au collégial"
"274","étudiante"
"275","chargée de projet"
"276","directeur général"
"277","chargé de projet dans une compagnie biomédicale"
"278","technicienne en santé animale"
"279","services financiers"
"280","analyste programmeur en informatique au gouvernement provincial."
"281","développeur web"
"282","engineering manager"
"283","enseignante éducation des adultes"
"284","musician"
"285","health and safety consultant"
"286","hvac and control technician"
"287","regional sales manager"
"288","shop supervisor"
"289","medical lad tech"
"290","business owner"
"291","scientist"
"292","information technology"
"293","medical radiation technologist"
"294","ceo"
"295","teaching"
"296","retired4"
"297","paramedic"
"298","sofware developper"
"299","work in customer service"
"300","in management"
"301","budget coordinator"
"302","tool and die maker"
"303","teaching children programming codes"
"304","physiotherapist"
"305","senior director of finance"
"306","it project coordinator"
"307","custodial services"
"308","manager at a cemetary + night security"
"309","professor"
"310","truckdriver"
"311","semi-retired"
"312","credit card associate"
"313","sales postion"
"314","don't know"
"315","university professor"
"316","vice president of operations for an international company"
"317","medical office assistant"
"318","groundskeeper"
"319","hairdresser"
"320","manger residential support"
"321","branch manager at a financial institution"
"322","lawier"
"323","bylaw officer"
"324","editor"
"325","private contractor"
"326","engineering"
"327","professional"
"328","real estate appraiser"
"329","car tech with railroad"
"330","restoration sales specialist"
"331","maintenance superintendent - sawmill"
"332","small business owners .(body removers)"
"333","gm of a hotel. teacher."
"334","sign language interpreter"
"335","architectural technologist line cook"
"336","metallurgist"
"337","creative director"
"338","economist"
"339","senior project manager"
"340","tradesman construction"
